time, event, related key, current phrase, current input
13067, Key Deselected, W, never too rich and never too thin, nev
13084, Key Deselected, W, never too rich and never too thin, nev
13101, Key Deselected, W, never too rich and never too thin, nev
13118, Key Deselected, W, never too rich and never too thin, nev
13134, Key Deselected, W, never too rich and never too thin, nev
13151, Key Deselected, W, never too rich and never too thin, nev
13167, Key Deselected, W, never too rich and never too thin, nev
13184, Key Deselected, W, never too rich and never too thin, nev
13234, Key Deselected, W, never too rich and never too thin, nev
13236, Key Selected, E, never too rich and never too thin, nev
13800, Key Press, E, never too rich and never too thin, nev
14002, Pause Ended, E, never too rich and never too thin, neve
14019, Key Selected, E, never too rich and never too thin, neve
14102, Key Deselected, E, never too rich and never too thin, neve
14106, Key Selected, R, never too rich and never too thin, neve
14666, Key Press, R, never too rich and never too thin, neve
14866, Pause Ended, R, never too rich and never too thin, never
14883, Key Selected, R, never too rich and never too thin, never
15101, Key Deselected, R, never too rich and never too thin, never
15105, Key Selected, G, never too rich and never too thin, never
15118, Key Deselected, G, never too rich and never too thin, never
15120, Key Selected, Space, never too rich and never too thin, never
15681, Key Press, Space, never too rich and never too thin, never
15882, Pause Ended, Space, never too rich and never too thin, never 
15899, Key Selected, Space, never too rich and never too thin, never 
15983, Key Deselected, Space, never too rich and never too thin, never 
15985, Key Selected, J, never too rich and never too thin, never 
15998, Key Deselected, J, never too rich and never too thin, never 
16000, Key Selected, U, never too rich and never too thin, never 
16132, Key Deselected, U, never too rich and never too thin, never 
16135, Key Selected, Y, never too rich and never too thin, never 
16165, Key Deselected, Y, never too rich and never too thin, never 
16167, Key Selected, U, never too rich and never too thin, never 
16198, Key Deselected, U, never too rich and never too thin, never 
16216, Key Deselected, U, never too rich and never too thin, never 
16233, Key Deselected, U, never too rich and never too thin, never 
16251, Key Deselected, U, never too rich and never too thin, never 
16254, Key Selected, Y, never too rich and never too thin, never 
16400, Key Deselected, Y, never too rich and never too thin, never 
16404, Key Selected, T, never too rich and never too thin, never 
16965, Key Press, T, never too rich and never too thin, never 
17167, Pause Ended, T, never too rich and never too thin, never t
17566, Key Selected, J, never too rich and never too thin, never t
17599, Key Deselected, J, never too rich and never too thin, never t
17603, Key Selected, I, never too rich and never too thin, never t
17649, Key Deselected, I, never too rich and never too thin, never t
17767, Key Deselected, I, never too rich and never too thin, never t
17770, Key Selected, O, never too rich and never too thin, never t
17783, Key Deselected, O, never too rich and never too thin, never t
17786, Key Selected, I, never too rich and never too thin, never t
17797, Key Deselected, I, never too rich and never too thin, never t
17815, Key Deselected, I, never too rich and never too thin, never t
17817, Key Selected, O, never too rich and never too thin, never t
18381, Key Press, O, never too rich and never too thin, never t
18583, Pause Ended, O, never too rich and never too thin, never to
18598, Key Selected, O, never too rich and never too thin, never to
19114, Key Deselected, O, never too rich and never too thin, never to
19131, Key Deselected, O, never too rich and never too thin, never to
19147, Key Deselected, O, never too rich and never too thin, never to
19163, Key Deselected, O, never too rich and never too thin, never to
