, gaze point, , gaze point validity, , pupil size, , pupil validity
time, X, Y, L, R, L, R, L, R
8473, nan, nan, 0, 0, nan, nan, 0, 0
8489, nan, nan, 0, 0, nan, nan, 0, 0
8504, nan, nan, 0, 0, nan, nan, 0, 0
8520, nan, nan, 0, 0, nan, nan, 0, 0
8536, nan, nan, 0, 0, nan, nan, 0, 0
8551, nan, nan, 0, 0, nan, nan, 0, 0
8583, nan, nan, 0, 0, nan, nan, 0, 0
8598, nan, nan, 0, 0, nan, nan, 0, 0
8614, nan, nan, 0, 0, nan, nan, 0, 0
8629, nan, nan, 0, 0, nan, nan, 0, 0
8645, nan, nan, 0, 0, nan, nan, 0, 0
8661, nan, nan, 0, 0, nan, nan, 0, 0
8676, nan, nan, 0, 0, nan, nan, 0, 0
8692, nan, nan, 0, 0, nan, nan, 0, 0
8708, nan, nan, 0, 0, nan, nan, 0, 0
8723, nan, nan, 0, 0, nan, nan, 0, 0
8739, nan, nan, 0, 0, nan, nan, 0, 0
8754, nan, nan, 0, 0, nan, nan, 0, 0
8770, nan, nan, 0, 0, nan, nan, 0, 0
8786, nan, nan, 0, 0, nan, nan, 0, 0
8801, nan, nan, 0, 0, nan, nan, 0, 0
8833, nan, nan, 0, 0, nan, nan, 0, 0
8848, nan, nan, 0, 0, nan, nan, 0, 0
8864, nan, nan, 0, 0, nan, nan, 0, 0
8879, nan, nan, 0, 0, nan, nan, 0, 0
8895, nan, nan, 0, 0, nan, nan, 0, 0
8911, nan, nan, 0, 0, nan, nan, 0, 0
8926, nan, nan, 0, 0, nan, nan, 0, 0
8942, nan, nan, 0, 0, nan, nan, 0, 0
8958, nan, nan, 0, 0, nan, nan, 0, 0
8973, nan, nan, 0, 0, nan, nan, 0, 0
8989, nan, nan, 0, 0, nan, nan, 0, 0
9004, nan, nan, 0, 0, nan, nan, 0, 0
9020, nan, nan, 0, 0, nan, nan, 0, 0
9036, nan, nan, 0, 0, nan, nan, 0, 0
9051, nan, nan, 0, 0, nan, nan, 0, 0
9083, nan, nan, 0, 0, nan, nan, 0, 0
9098, nan, nan, 0, 0, nan, nan, 0, 0
9114, nan, nan, 0, 0, nan, nan, 0, 0
9129, nan, nan, 0, 0, nan, nan, 0, 0
9145, nan, nan, 0, 0, nan, nan, 0, 0
9161, nan, nan, 0, 0, nan, nan, 0, 0
9176, nan, nan, 0, 0, nan, nan, 0, 0
9192, nan, nan, 0, 0, nan, nan, 0, 0
9208, nan, nan, 0, 0, nan, nan, 0, 0
9223, nan, nan, 0, 0, nan, nan, 0, 0
9239, nan, nan, 0, 0, nan, nan, 0, 0
9254, nan, nan, 0, 0, nan, nan, 0, 0
9270, nan, nan, 0, 0, nan, nan, 0, 0
9286, nan, nan, 0, 0, nan, nan, 0, 0
9301, nan, nan, 0, 0, nan, nan, 0, 0
9333, nan, nan, 0, 0, nan, nan, 0, 0
9348, nan, nan, 0, 0, nan, nan, 0, 0
9364, nan, nan, 0, 0, nan, nan, 0, 0
9379, nan, nan, 0, 0, nan, nan, 0, 0
9395, nan, nan, 0, 0, nan, nan, 0, 0
9411, nan, nan, 0, 0, nan, nan, 0, 0
9426, nan, nan, 0, 0, nan, nan, 0, 0
9442, nan, nan, 0, 0, nan, nan, 0, 0
9458, nan, nan, 0, 0, nan, nan, 0, 0
9473, nan, nan, 0, 0, nan, nan, 0, 0
9489, nan, nan, 0, 0, nan, nan, 0, 0
9504, nan, nan, 0, 0, nan, nan, 0, 0
9520, nan, nan, 0, 0, nan, nan, 0, 0
9536, nan, nan, 0, 0, nan, nan, 0, 0
9551, nan, nan, 0, 0, nan, nan, 0, 0
9583, nan, nan, 0, 0, nan, nan, 0, 0
9598, nan, nan, 0, 0, nan, nan, 0, 0
9614, nan, nan, 0, 0, nan, nan, 0, 0
9629, nan, nan, 0, 0, nan, nan, 0, 0
9645, nan, nan, 0, 0, nan, nan, 0, 0
9661, nan, nan, 0, 0, nan, nan, 0, 0
9676, nan, nan, 0, 0, nan, nan, 0, 0
9692, nan, nan, 0, 0, nan, nan, 0, 0
9708, nan, nan, 0, 0, nan, nan, 0, 0
9723, nan, nan, 0, 0, nan, nan, 0, 0
9739, nan, nan, 0, 0, nan, nan, 0, 0
9754, nan, nan, 0, 0, nan, nan, 0, 0
9770, nan, nan, 0, 0, nan, nan, 0, 0
9786, nan, nan, 0, 0, nan, nan, 0, 0
9801, nan, nan, 0, 0, nan, nan, 0, 0
9833, nan, nan, 0, 0, nan, nan, 0, 0
9848, nan, nan, 0, 0, nan, nan, 0, 0
9864, nan, nan, 0, 0, nan, nan, 0, 0
9879, nan, nan, 0, 0, nan, nan, 0, 0
9895, nan, nan, 0, 0, nan, nan, 0, 0
